freq_Hz,|H1|,ang_H1
25.633330167625168,0.00922591956845161,1.4239406587767673
27.162032476755684,0.009356178076480218,2.0325295924292135
28.781902446687937,0.009539504829510203,2.686653104608599
30.49837706952066,0.009808481667561967,3.359292939516913
32.31721758481955,0.010225167089378297,3.938386074597437
34.24452881685694,0.010913499499102674,4.02271621513377
36.28677966507226,0.012097502974397168,2.1871344841751976
38.45082481652772,0.01371349776387006,-5.964870358906278
40.743927753236186,0.013042104919207759,-22.228302999140443
43.173785131583585,0.010051818966532833,-27.674891412925614
45.74855261567406,0.008541042515929631,-23.027391870406518
48.476872251305664,0.008027759255319596,-17.911473636761368
51.3679014724559,0.007864371332162726,-14.207841029635262
54.431343837635225,0.007820587655027684,-11.630434095048322
57.67748159927351,0.007819545416855605,-9.78641852633543
61.117210215456325,0.007833757438131656,-8.415957262052494
64.76207491984752,0.007852699324359563,-7.360617624788126
68.62430947254305,0.007872186818826262,-6.522792867958706
72.71687722192038,0.00789057625200184,-5.840440272582781
77.05351461530549,0.007907291477655875,-5.272734672294582
81.64877730449795,0.007922214351388809,-4.791914973248674
86.51808900090455,0.007935420023471015,-4.378533139964318
91.67779324426061,0.007947058369439021,-4.018598171414529
97.14520825869748,0.007957300311960331,-3.701804416601743
102.93868508027717,0.007966313956110553,-3.420399459232396
109.07766915109553,0.007974254713045975,-3.168440693896415
115.58276558669077,0.007981262023977993,-2.9412948798623124
122.47580833582316,0.007987459149300132,-2.7352935898609134
129.77993346475662,0.007992954307522372,-2.547491091394429
137.51965681201608,0.007997842331321519,-2.3754910067422053
145.7209562742639,0.008002206444639424,-2.2173200706616325
154.41135899948313,0.008006119983586255,-2.071334714889216
163.6200337801256,0.008009647994413524,-1.9361508954730862
173.37788895633676,0.008012848698038266,-1.8105906022163478
183.71767615786374,0.008015774839955568,-1.6936404733293358
194.67410023284918,0.008018474961332143,-1.5844192580929353
206.2839357324804,0.008020994639821732,-1.48215175524922
218.5861503424672,0.008023377762627846,-1.386147446210015
231.6220356756384,0.008025667914394782,-1.295782426007803
245.43534586465407,0.008027909994623812,-1.210483460115913
260.0724444200114,0.008030152232831971,-1.1297130823778005
275.5824598462639,0.008032448860995326,-1.0529545917500378
292.0174505387698,0.008034863862649424,-0.9796955627930487
309.4325795144359,0.008037476506705022,-0.9094079628699897
327.8862995629283,0.008040389916058443,-0.8415219784605444
347.44054943980046,0.008043744987275971,-0.7753888226805173
368.1609617600467,0.008047744194812061,-0.7102244010710949
390.1170832898634,0.008052694741398398,-0.6450193627491748
413.38260837601445,0.008059092392425098,-0.578389355630096
438.0356262962902,0.008067798964903198,-0.5083201294002411
464.15888336127773,0.008080462141929678,-0.4317512505852372
491.8400606471694,0.008100668791380182,-0.34413567134428147
521.1720682918038,0.008137868969747523,-0.2416003136959158
